rec_est_id,cluster
1,3
49,1
89,1
112,1
113,7
115,1
120,3
121,1
256,1
275,1
276,7
299,1
413,1
414,1
467,1
468,1
518,1
535,1
691,4
732,1
798,1
847,1
862,1
870,1
926,0
955,1
1004,1
1008,7
1018,1
1032,1
1100,1
1119,1
1193,1
1203,1
1222,1
1248,1
1344,1
1366,7
1373,1
1378,1
1386,4
1485,1
1505,3
1513,1
1569,1
1583,1
1612,4
1675,1
1695,1
1696,7
1707,1
1742,7
1874,1
1943,1
1946,1
1948,1
1949,4
1956,1
1986,1
1991,1
2023,7
2039,2
2057,1
2070,1
2116,1
2129,1
2130,1
2154,1
2159,1
2163,1
2181,1
2187,1
2245,7
2300,1
2323,1
2324,1
2356,1
2365,1
2425,7
2434,1
2437,1
2439,1
2446,1
2457,7
2505,1
2515,1
2521,1
2522,1
2528,1
2533,1
2549,1
2569,1
2587,1
2602,1
2604,1
2611,1
2622,1
2635,4
2636,1
2662,1
2679,1
2680,1
2788,7
2791,1
2804,1
2825,1
2826,1
2902,1
2940,1
2953,3
3056,1
3137,1
3147,1
3157,1
3311,3
3323,1
3342,3
3343,1
3349,1
3412,1
3429,1
3430,1
3434,1
3468,1
3476,1
3496,4
3500,1
3506,1
3546,1
3553,1
3578,1
3581,1
3590,1
3592,1
3641,1
3650,1
3655,7
3667,1
3682,1
3783,1
3790,1
3850,4
3892,1
3934,1
3937,1
3966,1
3970,1
3996,1
4001,1
4003,1
4070,7
4072,3
4074,1
4117,1
4125,1
4139,1
4148,1
4162,1
4176,1
4191,1
4205,1
4224,1
4235,1
4259,1
4265,1
4321,7
4330,1
4340,1
4351,1
4362,1
4369,1
4373,1
4391,1
4406,1
4411,4
4413,7
4457,1
4459,1
4481,1
4486,1
4502,4
4511,1
4513,1
4515,1
4519,1
4523,1
4595,1
4603,1
4616,1
4617,1
4627,1
4631,4
4632,4
4653,1
4661,1
4666,1
4680,1
4688,4
4698,1
4707,1
4709,1
4730,1
4734,1
4736,4
4747,1
4752,7
4753,1
4756,2
4759,1
4773,3
4806,1
4820,1
4825,1
4835,1
4858,1
4875,1
4889,1
4924,4
4971,7
5023,7
5047,1
5060,1
5105,1
5108,1
5112,1
5125,1
5127,1
5132,1
5135,1
5136,3
5137,1
5150,1
5186,1
5188,4
5190,1
5196,1
5198,1
5211,1
5220,2
5236,1
5239,1
5258,1
5261,1
5274,7
5278,2
5294,1
5306,2
5342,1
5372,1
5380,1
5398,1
5401,1
5403,1
5407,4
5430,1
5436,1
5438,1
5472,1
5474,1
5475,1
5483,1
5490,1
5523,1
5525,1
5592,1
5600,1
5616,1
5635,1
5641,1
5649,7
5652,1
5653,1
5686,1
5718,1
5719,1
5762,1
5779,1
5787,1
5790,1
5809,1
5811,1
5866,1
5950,7
5992,1
6040,1
6048,1
6071,1
6091,1
6178,1
6183,1
6200,1
6215,1
6262,1
6284,1
6293,3
6294,3
6295,1
6296,3
6297,3
6298,1
6300,3
6301,1
6302,7
6307,1
6312,1
6344,1
6369,1
6385,3
6394,1
6416,1
6447,1
6452,1
6481,1
6498,1
6588,1
6590,1
6689,7
6695,1
6721,1
6742,1
6836,1
6880,1
6900,1
6904,1
6906,7
6934,4
6971,1
6987,4
6992,1
7003,1
7009,1
7035,1
7037,1
7044,1
7069,3
7077,1
7110,1
7114,7
7116,1
7134,1
7156,1
7191,1
7196,1
7197,1
7214,1
7219,7
7221,7
7230,1
7261,1
7265,1
7269,1
7272,1
7275,1
7277,1
7284,1
7285,1
7334,1
7336,1
7346,1
7351,3
7358,1
7359,1
7361,1
7391,4
7393,1
7394,3
7397,3
7398,1
7418,1
7422,1
7468,1
7470,1
7484,1
7494,4
7497,1
7499,1
7539,4
7553,1
7560,3
7568,1
7578,1
7597,4
7604,1
7634,1
7639,1
7644,3
7646,3
7648,7
7672,2
7675,1
7678,7
7685,1
7689,3
7695,4
